age,gender,year,speciality,medsub,surgsub,Empathyscore,EntryYrintoUCCmed,Hpat1IntoUCCmed,Hpat2IntoUCCmed,Hpat3IntoUCCmed,HPATIntoUCCmed
2,2,5,13,0,0,114,2010,52,55,70,176
2,2,5,4,11,11,104,2009,67,61,69,197
2,1,5,3,0,0,117,2010,60,53,70,183
3,2,4,4,0,0,91,2011,64,60,71,194
2,2,5,4,2,5,88,2010,60,57,61,178
2,1,5,23,11,8,108,2009,67,58,67,191
2,2,5,5,4,0,123,2010,53,63,63,179
2,1,5,5,0,0,116,2010,50,53,73,175
2,1,5,0,0,0,112,2010,67,71,67,204
2,1,5,23,11,0,124,2010,62,66,55,183
2,2,5,8,0,0,101,2010,53,70,63,186
2,2,5,4,0,0,99,2010,65,63,76,204
2,2,5,4,0,0,131,2009,55,61,62,177
1,1,5,8,0,0,90,2010,62,63,59,184
2,2,5,5,1,0,105,2010,52,60,59,171
2,1,5,3,2,5,108,2010,56,53,67,176
2,1,5,0,0,0,126,2010,53,55,73,180
2,1,5,11,9,5,109,2010,67,66,67,201
2,2,5,13,6,0,134,2010,52,66,57,175
2,2,5,8,0,0,125,2010,64,60,63,187
2,2,4,23,11,8,117,2011,60,72,66,198
2,2,5,5,11,0,115,2010,75,60,76,211
2,2,5,13,0,0,119,2010,64,86,70,219
2,1,5,4,2,2,97,2010,65,48,70,183
2,1,5,5,9,0,99,2010,60,60,65,185
2,1,5,11,0,0,95,2010,60,63,63,186
2,1,5,13,11,8,120,2010,53,63,59,175
2,2,5,13,0,0,124,2011,59,51,68,178
2,2,5,8,0,0,131,2010,65,70,67,202
2,1,5,23,11,8,96,2010,64,55,61,179
2,1,5,22,11,0,116,2010,60,70,52,182
2,1,4,6,0,0,102,2011,64,54,77,194
2,2,5,4,0,0,79,2010,59,57,55,171
2,2,5,6,0,0,99,2010,64,60,52,175
2,1,5,1,0,0,112,2010,82,57,59,198
2,2,5,13,0,0,103,2010,48,74,54,175
2,2,4,0,5,0,126,2011,60,54,66,179
2,1,4,5,11,0,125,2011,70,51,77,198
2,2,5,4,0,0,109,2010,54,66,59,179
2,2,5,5,11,0,99,2010,54,66,57,178
2,1,4,5,1,1,77,2011,75,68,64,207
2,2,5,8,3,8,117,2010,67,66,65,198
2,2,5,13,0,0,77,2010,67,50,70,187
2,2,5,5,11,0,108,2010,59,63,65,187
2,2,5,2,5,4,127,2010,49,55,67,171
2,1,5,19,9,7,121,2010,65,55,59,179
2,2,5,4,0,0,122,2010,62,66,55,183
2,2,4,23,11,0,98,2011,59,57,57,173
2,1,5,23,11,8,106,2010,54,33,65,153
2,2,5,8,0,0,104,2010,57,60,59,176
2,2,5,5,11,0,94,2010,67,74,76,217
2,2,4,13,0,0,114,2011,64,68,73,206
2,2,5,4,0,0,110,2010,57,63,63,183
2,2,5,23,0,0,110,2010,58,53,64,175
2,1,5,5,5,0,120,2010,61,48,67,176
2,1,5,13,0,0,113,2010,64,60,59,183
2,2,4,22,0,0,109,2010,61,61,54,176
2,2,5,8,0,0,112,2010,57,70,50,177
2,1,4,1,0,0,121,2010,54,46,76,176
2,2,5,23,1,6,98,2010,67,57,76,201
2,2,5,8,0,0,101,2010,64,53,63,179
2,1,5,3,0,0,121,2010,60,55,67,182
2,1,5,5,1,0,103,2010,64,55,52,170
2,1,5,23,0,0,96,2010,72,55,67,194
2,1,5,3,0,0,118,2010,64,57,67,188
2,2,5,5,7,0,112,2010,67,66,70,203
