gender,Empathyscore,HPATIntoUCCmed
2,114,176
2,104,197
1,117,183
2,91,194
2,88,178
1,108,191
2,123,179
1,116,175
1,112,204
1,124,183
2,101,186
2,99,204
2,131,177
1,90,184
2,105,171
1,108,176
1,126,180
1,109,201
2,134,175
2,125,187
2,117,198
2,115,211
2,119,219
1,97,183
1,99,185
1,95,186
1,120,175
2,124,178
2,131,202
1,96,179
1,116,182
1,102,194
2,79,171
2,99,175
1,112,198
2,103,175
2,126,179
1,125,198
2,109,179
2,99,178
1,77,207
2,117,198
2,77,187
2,108,187
2,127,171
1,121,179
2,122,183
2,98,173
1,106,153
2,104,176
2,94,217
2,114,206
2,110,183
2,110,175
1,120,176
1,113,183
2,109,176
2,112,177
1,121,176
2,98,201
2,101,179
1,121,182
1,103,170
1,96,194
1,118,188
2,112,203
1,110,186
2,107,171
1,116,204
2,108,200
1,106,186
2,120,175
2,126,206
2,120,186
1,107,194
2,105,156
1,107,216
1,115,184
2,126,202
2,121,189
1,113,193
1,106,215
2,104,180
2,114,188
2,132,187
1,102,186
1,109,188
1,111,201
2,96,186
1,128,191
2,112,178
1,131,194
2,130,176
1,101,216
1,115,222
2,127,180
2,131,181
2,118,181
1,123,201
2,104,200
1,99,189
2,108,190
1,115,179
1,122,196
1,100,192
1,91,187
2,114,175
1,81,185
1,92,179
1,129,184
2,111,189
1,102,220
1,114,183
2,112,184
1,105,185
1,114,189
2,110,185
2,121,186
2,125,181
2,116,169
2,109,179
1,109,196
1,106,187
1,117,189
1,134,220
1,117,183
2,108,196
2,127,189
2,116,192
2,119,194
2,106,194
2,104,185
2,120,196
1,108,184
2,96,204
2,107,210
2,123,182
2,111,184
2,130,192
1,98,191
2,108,183
2,113,175
2,125,207
2,131,191
1,84,219
2,125,187
2,122,181
2,98,200
2,107,210
1,125,183
1,102,185
1,123,198
2,100,169
2,122,183
2,107,181
2,112,196
1,103,186
2,114,196
1,113,198
1,115,197
1,112,214
2,113,184
1,104,186
1,115,196
1,100,191
2,118,197
1,104,202
1,106,193
2,59,184
1,110,184
1,112,209
1,115,204
2,96,170
2,120,190
2,121,193
1,103,198
2,122,202
2,115,192
1,111,197
2,110,194
1,117,193
1,128,215
2,122,187
2,133,197
1,114,190
2,123,182
1,112,187
2,114,197
2,98,187
1,109,206
1,109,202
2,131,180
1,125,188
2,105,199
1,117,182
1,95,193
1,117,197
2,117,190
1,131,192
2,104,195
1,111,187
2,126,192
1,116,174
1,100,180
1,101,166
2,106,175
2,112,172
1,104,174
1,117,162
2,109,169
1,118,193
1,114,175
1,87,171
2,104,182
1,95,168
2,130,165
2,113,184
2,119,172
2,102,175
1,102,177
2,119,175
2,99,190
1,125,180
2,115,155
2,112,177
2,124,162
2,99,193
2,115,184
2,113,191
2,111,165
2,122,177
2,123,174
1,107,165
2,113,207
2,116,179
1,120,172
2,117,181
2,106,161
1,109,182
1,98,191
1,127,171
1,94,202
2,114,225
2,112,173
1,122,176
2,110,168
1,119,185
1,110,184
1,113,191
2,122,180
1,97,179
1,113,165
2,110,168
2,124,206
1,117,179
2,99,169
1,119,177
2,113,190
2,105,172
2,101,172
1,110,123
2,139,156
1,121,169
